reaction_id,median_fluxes
PEPDt3,0.0
PTE10m,0.0
ORNTA,0.0013157003484835458
PUNP6,0.009377771028833559
SO4ti,423347.01056531596
AGPRim,0.1115916848589229
ALDD2xm,0.1291610829633523
HMR_6515,0.0
GLNS,0.7610673260959278
FA181COAabcp,1.1830906335940835e-05
PSERSm_RT,0.0
UPPDC1,5.614592907554561e-05
FTHFLmi,0.0
MCITL2m,0.025036331216559016
PANTS,6.25649301563448e-05
FACOAL180,0.025898313248409188
HMBS,5.614592907554561e-05
ACCOAC,0.6299493459757766
SQLEr,0.0162633971100914
HISt6,0.0
FUMAC,0.01311333565464798
ACHBSm,0.03316695204389132
ATPPRT,0.007941136681952982
METAT,0.1907972048175152
MM3,0.0
FACOAE1829Z12Z,0.0
METSOXR2,0.0
FACOAE100,0.0
PYNP2r,-0.005192738389119498
CHOLSH,0.0
I4FE4STm,0.0
NO3t,0.0
UACMAMO,0.0
FACOAE140,0.0
SDPTA,0.0
F6PP,0.0
ORNCD,0.008275831058570441
UDPDOLPT,0.0
GDPTPDP,0.0
ACOAR5m,0.0006305792552441791
XYLK,1.1059245560564994
VNDH,0.0
AAMYLASE,0.0
APNn,0.0
UDPGDC,0.0
LIPOCTm,0.0
TGUAt,0.0
ADSHm,0.0
HACD3m,-0.032380063684269836
G12MT3,0.0
G6PP,0.2072177833756348
NADHXD2,0.22025069898942845
NA1tm,0.0
MANPGH,0.0
ULA4NFT,0.0
GLCNACT,0.0
LYSTRSm,0.0
ACPT1819Z1819Z,0.0
BTS,0.0
NARK,0.0
CYOO6m,5.777319278079068
2HESR,0.0
NTD6,0.0
3AMACHYD,0.0
ADNtm,0.0
MSAR,0.0
MALCOAMT,0.0
ACANTHAT,0.0
